key,product_name,currency_symbol,price,product_url,color,title
6249759PBR20001,,,,https://www.gucci.com/us/en/pr/beauty/make-up/face/01-poudre-de-beaute-eclat-soleil-powder-p-6249759PBR20001,,
6843069PRD99000,,,,https://www.gucci.com/us/en/pr/beauty/make-up/face/gucci-baume-nourrissant-universel-nourishing-balm-p-6843069PRD99000,,
6739469PRD99999,,,,https://www.gucci.com/us/en/pr/beauty/make-up/face/gucci-brume-de-beaute-beauty-mist-p-6739469PRD99999,,
6249769PRD90001,,,,https://www.gucci.com/us/en/pr/beauty/make-up/face/eclat-de-beaute-effet-lumiere-gel-face-gloss-p-6249769PRD90001,,
853971FAF3Y2155,Gucci Giglio large tote bag,$,2350.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/gucci-giglio-large-tote-bag-p-853971FAF3Y2155,Brown,"Gucci Giglio large tote bag $ 2,350 Brown"
853971FAFWA1053,Gucci Giglio large tote bag,$,2350.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/gucci-giglio-large-tote-bag-p-853971FAFWA1053,Black,"Gucci Giglio large tote bag $ 2,350 Black"
860845FAF3Y2155,Gucci Giglio small tote bag,$,1950.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/gucci-giglio-small-tote-bag-p-860845FAF3Y2155,Brown,"Gucci Giglio small tote bag $ 1,950 Brown"
860845FAFWA1053,Gucci Giglio small tote bag,$,1950.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/gucci-giglio-small-tote-bag-p-860845FAFWA1053,Black,"Gucci Giglio small tote bag $ 1,950 Black"
853971FAFFP2547,Gucci Giglio large tote bag,$,2250.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/gucci-giglio-large-tote-bag-p-853971FAFFP2547,Beige,"Gucci Giglio large tote bag $ 2,250 Beige"
853971FAFFQ8864,Gucci Giglio large tote bag,$,2250.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/gucci-giglio-large-tote-bag-p-853971FAFFQ8864,Blue,"Gucci Giglio large tote bag $ 2,250 Blue"
860845AAF8L2547,Gucci Giglio small tote bag,$,1850.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/gucci-giglio-small-tote-bag-p-860845AAF8L2547,Beige,"Gucci Giglio small tote bag $ 1,850 Beige"
860845FAFRW8864,Gucci Giglio small tote bag,$,1850.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/gucci-giglio-small-tote-bag-p-860845FAFRW8864,Blue,"Gucci Giglio small tote bag $ 1,850 Blue"
A0022VAAG211096,,,,https://www.gucci.com/us/en/pr/-p-A0022VAAG211096,,
